MAV> dump GPS
MAV> 2026-03-06 03:29:32.620 GPS {TimeUS : 9819404, I : 0, Status : 1, GMS : 444590600, GWk : 0, NSats : 3, HDop : 1.21, Lat : -35.0016369, Lng : 147.639872, Alt : 578.11, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:32.800 GPS {TimeUS : 9999332, I : 0, Status : 6, GMS : 444590800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:32.999 GPS {TimeUS : 10199252, I : 0, Status : 6, GMS : 444591000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:33.199 GPS {TimeUS : 10399172, I : 0, Status : 6, GMS : 444591200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:33.399 GPS {TimeUS : 10599092, I : 0, Status : 6, GMS : 444591400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:33.580 GPS {TimeUS : 10779853, I : 0, Status : 6, GMS : 444591600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:33.800 GPS {TimeUS : 10999765, I : 0, Status : 6, GMS : 444591800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.000 GPS {TimeUS : 11199685, I : 0, Status : 6, GMS : 444592000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.200 GPS {TimeUS : 11399605, I : 0, Status : 6, GMS : 444592200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.400 GPS {TimeUS : 11599525, I : 0, Status : 6, GMS : 444592400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.600 GPS {TimeUS : 11799445, I : 0, Status : 6, GMS : 444592600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.800 GPS {TimeUS : 11999365, I : 0, Status : 6, GMS : 444592800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:34.999 GPS {TimeUS : 12199285, I : 0, Status : 6, GMS : 444593000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:35.199 GPS {TimeUS : 12399205, I : 0, Status : 6, GMS : 444593200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:35.399 GPS {TimeUS : 12599125, I : 0, Status : 6, GMS : 444593400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:35.599 GPS {TimeUS : 12799045, I : 0, Status : 6, GMS : 444593600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:35.800 GPS {TimeUS : 12999798, I : 0, Status : 6, GMS : 444593800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.000 GPS {TimeUS : 13199718, I : 0, Status : 6, GMS : 444594000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.200 GPS {TimeUS : 13399638, I : 0, Status : 6, GMS : 444594200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.400 GPS {TimeUS : 13599558, I : 0, Status : 6, GMS : 444594400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.600 GPS {TimeUS : 13799478, I : 0, Status : 6, GMS : 444594600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.800 GPS {TimeUS : 13999398, I : 0, Status : 6, GMS : 444594800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:36.999 GPS {TimeUS : 14199318, I : 0, Status : 6, GMS : 444595000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:37.199 GPS {TimeUS : 14399238, I : 0, Status : 6, GMS : 444595200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:37.399 GPS {TimeUS : 14599158, I : 0, Status : 6, GMS : 444595400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:37.599 GPS {TimeUS : 14799078, I : 0, Status : 6, GMS : 444595600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:37.780 GPS {TimeUS : 14979839, I : 0, Status : 6, GMS : 444595800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:38.000 GPS {TimeUS : 15199751, I : 0, Status : 6, GMS : 444596000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:38.200 GPS {TimeUS : 15399671, I : 0, Status : 6, GMS : 444596200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
