2026-03-06 03:36:53.160 XKF1 {TimeUS : 450359784, C : 1, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014620685018599033, VE : -0.018671343103051186, VD : 0.016829323023557663, dPD : 0.265517920255661, PN : 0.011550730094313622, PE : -0.014909898862242699, PD : 0.5881951451301575, GX : 0.13, GY : 0.13, GZ : 0.17, OH : 584.08}
2026-03-06 03:36:53.200 XKF1 {TimeUS : 450399768, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014360541477799416, VE : -0.019359365105628967, VD : 0.01872219890356064, dPD : 0.30341169238090515, PN : 0.011418996378779411, PE : -0.01541781984269619, PD : 0.5993865728378296, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.200 XKF1 {TimeUS : 450399768, C : 1, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.01476343534886837, VE : -0.018829405307769775, VD : 0.018976520746946335, dPD : 0.3006940186023712, PN : 0.011752702295780182, PE : -0.015163513831794262, PD : 0.5995115041732788, GX : 0.13, GY : 0.13, GZ : 0.17, OH : 584.08}
2026-03-06 03:36:53.240 XKF1 {TimeUS : 450439752, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014251414686441422, VE : -0.019202185794711113, VD : 0.02070978470146656, dPD : 0.3324057161808014, PN : 0.011279065161943436, PE : -0.015227314084768295, PD : 0.6103750467300415, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.240 XKF1 {TimeUS : 450439752, C : 1, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.01453199703246355, VE : -0.018590513616800308, VD : 0.021450573578476906, dPD : 0.3250923156738281, PN : 0.011404132470488548, PE : -0.014707804657518864, PD : 0.6134329438209534, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.280 XKF1 {TimeUS : 450479736, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014212287962436676, VE : -0.019142696633934975, VD : 0.022403672337532043, dPD : 0.332442969083786, PN : 0.011226896196603775, PE : -0.015155422501266003, PD : 0.6201772689819336, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.280 XKF1 {TimeUS : 450479736, C : 1, Roll : -0.05, Pitch : -0.07, Yaw : 351.98, VN : 0.014469868503510952, VE : -0.01863144524395466, VD : 0.023308617994189262, dPD : 0.32660800218582153, PN : 0.011387001723051071, PE : -0.014682793989777565, PD : 0.6239784359931946, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.320 XKF1 {TimeUS : 450519720, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014142987318336964, VE : -0.01902310736477375, VD : 0.02526772953569889, dPD : 0.33761560916900635, PN : 0.011093119159340858, PE : -0.014972553588449955, PD : 0.63593590259552, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.320 XKF1 {TimeUS : 450519720, C : 1, Roll : -0.05, Pitch : -0.07, Yaw : 351.98, VN : 0.014429704286158085, VE : -0.01872280240058899, VD : 0.025422345846891403, dPD : 0.33488643169403076, PN : 0.01144323404878378, PE : -0.014758696779608727, PD : 0.635698139667511, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.360 XKF1 {TimeUS : 450559704, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014190800487995148, VE : -0.019166648387908936, VD : 0.02713116817176342, dPD : 0.33910849690437317, PN : 0.01121825072914362, PE : -0.015140431933104992, PD : 0.6464756727218628, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.360 XKF1 {TimeUS : 450559704, C : 1, Roll : -0.05, Pitch : -0.07, Yaw : 351.98, VN : 0.01452910527586937, VE : -0.018798941746354103, VD : 0.027253801003098488, dPD : 0.3327946960926056, PN : 0.011569530703127384, PE : -0.014925623312592506, PD : 0.6461938619613647, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.400 XKF1 {TimeUS : 450599688, C : 0, Roll : -0.06, Pitch : -0.07, Yaw : 351.98, VN : 0.014340062625706196, VE : -0.019337639212608337, VD : 0.028872773051261902, dPD : 0.3222053349018097, PN : 0.011409822851419449, PE : -0.015398401767015457, PD : 0.6564064025878906, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
2026-03-06 03:36:53.400 XKF1 {TimeUS : 450599688, C : 1, Roll : -0.05, Pitch : -0.07, Yaw : 351.98, VN : 0.014658093452453613, VE : -0.018952064216136932, VD : 0.02905973419547081, dPD : 0.31600847840309143, PN : 0.011762143112719059, PE : -0.015178347937762737, PD : 0.6560989022254944, GX : 0.13, GY : 0.13, GZ : 0.16, OH : 584.08}
